Bestand,Similarity,Pad 1,Pad 2,Nieuwste Versie,Tijdsverschil (uur),Datum 1,Datum 2
morton_utils.cu,0.8047,mess/zip/PluginAutoFit/src/morton_utils.cu,mess/zip/PluginAutoFit/src/bak/morton_utils.cu,mess/zip/PluginAutoFit/src/bak/morton_utils.cu,142.9,2026-01-13 12:34:15,2026-01-19 11:31:05
autofit_impl.h,0.7325,mess/zip/PluginAutoFit/PluginAutoFit/include/autofit_impl.h,mess/zip/PluginAutoFit/include/bak/autofit_impl.h,mess/zip/PluginAutoFit/include/bak/autofit_impl.h,73.7,2026-01-13 11:51:58,2026-01-16 13:35:49
autofit.cpp,0.6094,mess/zip/PluginAutoFit/bak2/autofit.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit.cpp,mess/zip/PluginAutoFit/bak2/autofit.cpp,3405.7,2026-01-21 12:17:32,2025-09-01 15:35:50
autofit_impl.cpp,0.6093,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,27.0,2026-01-16 13:35:48,2026-01-15 10:36:41
autofit_impl.h,0.6,mess/zip/PluginAutoFit/include/autofit_impl.h,mess/zip/PluginAutoFit/include/bak/autofit_impl.h,mess/zip/PluginAutoFit/include/autofit_impl.h,118.8,2026-01-21 12:24:04,2026-01-16 13:35:49
types.cuh,0.5905,mess/zip/PluginAutoFit/include/types.cuh,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/types.cuh,mess/zip/PluginAutoFit/include/types.cuh,70.1,2026-01-16 15:12:30,2026-01-13 17:04:44
consts.cuh,0.5567,mess/zip/PluginAutoFit/legacy/include/bak/consts.cuh,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/consts.cuh,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/consts.cuh,911.1,2025-12-09 14:28:41,2026-01-16 13:35:27
h_do_optimize_frame3.cpp,0.4593,mess/zip/PluginAutoFit/legacy/src/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/bak/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/h_do_optimize_frame3.cpp,142.9,2026-01-19 11:30:41,2026-01-13 12:34:15
h_do_optimize_frame3.cpp,0.4593,mess/zip/PluginAutoFit/legacy/src/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/h_do_optimize_frame3.cpp,142.9,2026-01-19 11:30:41,2026-01-13 12:34:15
h_do_optimize_frame3.cpp,0.4283,mess/zip/PluginAutoFit/legacy/src/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/h_do_optimize_frame3.cpp,138.4,2026-01-19 11:30:41,2026-01-13 17:04:44
